address_full,incorporated_place,major_city,state,lat,lon,block_group,collection_datetime,provider,speed_down,speed_up,speed_unit,price,technology,package,fastest_speed_down,fastest_speed_price,fn,redlining_grade,race_perc_non_white,income_lmi,ppl_per_sq_mile,n_providers,income_dollars_below_median,internet_perc_broadband,median_household_income,speed_down_bins,race_quantile,is_slow,race_perc,color,income_level
"1, Templeton Way, Boston, MA, 02124",Boston,Boston,MA,42.289794,-71.057208,3,1701787483.8183212,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\12.geojson.gz,C,0.8107947805456702,0.8633384885580225,15530.152998719635,3.0,10427.0,0.94,65871.0,Slow (<25 Mbps),least white,1,"[0.81, 0.86)",#801930,
"12, Albion Street, Boston, MA, 02119",Boston,Boston,MA,42.32213,-71.07163,2,1701787363.8898065,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\1.geojson.gz,D,0.9741650913673598,0.6459671288893549,8563.334682314853,2.0,27012.0,0.751131221719457,49286.0,Slow (<25 Mbps),least white,1,"[0.95, 1.0)",#801930,
"19, Everton Street, Boston, MA, 02121",Boston,Boston,MA,42.30491,-71.07268,3,1701787445.775708,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\9.geojson.gz,C,0.9165797705943692,0.3447272536632677,5095.7241613840815,2.0,49996.0,0.7753424657534247,26302.0,Slow (<25 Mbps),least white,1,"[0.9, 0.95)",#801930,Low
"75, Peterborough Street, Boston, MA, 02215",Boston,Boston,MA,42.34373,-71.09827,4,1701787412.9383132,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\6.geojson.gz,C,,,,,,,,Slow (<25 Mbps),,1,,#801930,
"149, Charles Street, Boston, MA, 02114",Boston,Boston,MA,42.3604793,-71.0705695,3,1701787462.8402872,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\10.geojson.gz,D,0.0968992248062015,1.5760570395030014,22588.779155284723,3.0,-43952.0,0.9455676516329704,120250.0,Slow (<25 Mbps),most white,1,"[0.05, 0.1)",#801930,Upper Income
"31, Lewiston Street, Boston, MA, 02136",Boston,Boston,MA,42.26608,-71.11211,4,1701787432.6341994,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\8.geojson.gz,,0.819910514541387,1.9767621693884505,4950.001661074383,3.0,-74525.0,0.8860103626943006,150823.0,Slow (<25 Mbps),least white,1,"[0.81, 0.86)",#801930,Upper Income
"333, Massachusetts Avenue, Boston, MA, 02115",Boston,Boston,MA,42.34224,-71.08468,3,1701787475.7928944,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\11.geojson.gz,D,0.6697819314641744,0.2037668090906708,16060.84106772071,3.0,60751.0,0.608955223880597,15547.0,Slow (<25 Mbps),least white,1,"[0.62, 0.67)",#801930,Low
"45, Fottler Road, Boston, MA, 02126",Boston,Boston,MA,42.27812,-71.09644,4,1701787405.5614283,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\5.geojson.gz,C,0.9597230962869728,0.3575060945241028,10417.486166837123,3.0,49021.0,0.8199608610567515,27277.0,Slow (<25 Mbps),least white,1,"[0.95, 1.0)",#801930,Low
"65, Kingsdale Street, Boston, MA, 02124",Boston,Boston,MA,42.29495,-71.08227,2,1701787388.1907244,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\3.geojson.gz,C,0.9462857142857144,0.366575794909434,6850.548435334737,2.0,48329.0,0.89568345323741,27969.0,Slow (<25 Mbps),least white,1,"[0.9, 0.95)",#801930,Low
"31, Lancaster Street, Boston, MA, 02114",Boston,Boston,MA,42.3644347,-71.062312,2,1701787375.1247127,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\2.geojson.gz,,,,,,,,,Slow (<25 Mbps),,1,,#801930,
"80, W Dedham Street, Boston, MA, 02118",Boston,Boston,MA,42.34177,-71.07297,2,1701787398.7775416,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\4.geojson.gz,D,,,,,,,,Slow (<25 Mbps),,1,,#801930,
"41, Capen Street, Boston, MA, 02124",Boston,Boston,MA,42.2827,-71.08058,4,1701787419.4816062,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\7.geojson.gz,C,0.9698275862068966,0.3925922042517497,8892.551529844668,3.0,46344.0,0.9019607843137256,29954.0,Slow (<25 Mbps),least white,1,"[0.95, 1.0)",#801930,Low
"5, Barrows Street, Boston, MA, 02134",Boston,Boston,MA,42.352753,-71.138349,1,1701787492.8068397,hughes,15,3,Mbps,49.99,Satellite,15 GB,50,149.99,../data/intermediary/isp/hughes\boston\13.geojson.gz,C,,,,,,,,Slow (<25 Mbps),,1,,#801930,
